,Green Tea St,Hazelnut St,Mango St,Mint Choco,Day,Date_
90,50.0,26.0,180.0,0.0,Fri,30th Jun 2017
91,0.0,0.0,52.0,0.0,Sat,1st Jul 2017
92,0.0,0.0,0.0,0.0,Sun,2nd Jul 2017
93,26.0,0.0,104.0,40.0,Mon,3rd Jul 2017
94,26.0,0.0,52.0,0.0,Tue,4th Jul 2017
95,26.0,52.0,130.0,0.0,Wed,5th Jul 2017
96,52.0,182.0,26.0,0.0,Thu,6th Jul 2017
97,78.0,78.0,0.0,0.0,Fri,7th Jul 2017
98,52.0,52.0,26.0,0.0,Sat,8th Jul 2017
99,26.0,0.0,52.0,40.0,Sun,9th Jul 2017
100,208.0,130.0,0.0,0.0,Mon,10th Jul 2017
101,104.0,104.0,26.0,40.0,Tue,11th Jul 2017
102,104.0,182.0,78.0,80.0,Wed,12th Jul 2017
103,78.0,26.0,52.0,0.0,Thu,13th Jul 2017
104,130.0,26.0,0.0,40.0,Fri,14th Jul 2017
105,26.0,26.0,26.0,80.0,Sat,15th Jul 2017
106,26.0,26.0,26.0,0.0,Sun,16th Jul 2017
107,0.0,26.0,0.0,40.0,Mon,17th Jul 2017
108,0.0,52.0,0.0,40.0,Tue,18th Jul 2017
109,0.0,52.0,26.0,120.0,Wed,19th Jul 2017
110,52.0,0.0,0.0,40.0,Thu,20th Jul 2017
111,26.0,0.0,26.0,80.0,Fri,21st Jul 2017
112,0.0,0.0,78.0,0.0,Sat,22nd Jul 2017
113,0.0,0.0,0.0,0.0,Sun,23rd Jul 2017
114,26.0,0.0,52.0,0.0,Mon,24th Jul 2017
115,26.0,52.0,52.0,40.0,Tue,25th Jul 2017
116,78.0,52.0,156.0,40.0,Wed,26th Jul 2017
117,26.0,26.0,208.0,0.0,Thu,27th Jul 2017
118,52.0,52.0,182.0,40.0,Fri,28th Jul 2017
119,0.0,52.0,78.0,80.0,Sat,29th Jul 2017
120,0.0,0.0,26.0,40.0,Sun,30th Jul 2017
121,26.0,26.0,0.0,0.0,Mon,31st Jul 2017
122,26.0,0.0,52.0,40.0,Tue,1st Aug 2017
123,26.0,26.0,26.0,80.0,Wed,2nd Aug 2017
124,0.0,0.0,0.0,40.0,Thu,3rd Aug 2017
125,0.0,0.0,26.0,40.0,Fri,4th Aug 2017
126,26.0,78.0,52.0,120.0,Sat,5th Aug 2017
127,0.0,26.0,78.0,40.0,Sun,6th Aug 2017
128,0.0,26.0,52.0,0.0,Mon,7th Aug 2017
129,26.0,52.0,26.0,0.0,Tue,8th Aug 2017
130,0.0,52.0,26.0,0.0,Wed,9th Aug 2017
131,52.0,104.0,104.0,0.0,Thu,10th Aug 2017
132,0.0,78.0,182.0,40.0,Fri,11th Aug 2017
133,26.0,26.0,130.0,80.0,Sat,12th Aug 2017
134,0.0,26.0,104.0,40.0,Sun,13th Aug 2017
135,52.0,0.0,0.0,40.0,Mon,14th Aug 2017
136,0.0,130.0,78.0,80.0,Tue,15th Aug 2017
137,26.0,0.0,104.0,40.0,Wed,16th Aug 2017
138,26.0,0.0,104.0,80.0,Thu,17th Aug 2017
139,52.0,26.0,104.0,40.0,Fri,18th Aug 2017
140,0.0,52.0,234.0,0.0,Sat,19th Aug 2017
141,26.0,0.0,52.0,0.0,Sun,20th Aug 2017
142,52.0,0.0,0.0,0.0,Mon,21st Aug 2017
143,26.0,26.0,104.0,0.0,Tue,22nd Aug 2017
144,0.0,0.0,0.0,0.0,Wed,23rd Aug 2017
145,0.0,0.0,78.0,0.0,Thu,24th Aug 2017
146,26.0,52.0,182.0,0.0,Fri,25th Aug 2017
147,26.0,26.0,0.0,0.0,Sat,26th Aug 2017
148,0.0,0.0,0.0,0.0,Sun,27th Aug 2017
149,52.0,78.0,130.0,0.0,Mon,28th Aug 2017
150,26.0,0.0,104.0,0.0,Tue,29th Aug 2017
151,52.0,52.0,26.0,0.0,Wed,30th Aug 2017
152,52.0,26.0,52.0,0.0,Thu,31st Aug 2017
153,260.0,52.0,78.0,0.0,Fri,1st Sep 2017
154,130.0,0.0,26.0,0.0,Sat,2nd Sep 2017
155,0.0,0.0,0.0,0.0,Sun,3rd Sep 2017
156,208.0,26.0,26.0,0.0,Mon,4th Sep 2017
157,182.0,0.0,0.0,0.0,Tue,5th Sep 2017
158,130.0,130.0,52.0,0.0,Wed,6th Sep 2017
159,51.16667,104.0,129.16667,0.0,Thu,7th Sep 2017
160,0.0,234.0,52.0,0.0,Fri,8th Sep 2017
161,78.0,208.0,50.33334,0.0,Sat,9th Sep 2017
162,0.0,104.0,26.0,0.0,Sun,10th Sep 2017
163,104.0,208.0,26.0,0.0,Mon,11th Sep 2017
164,26.0,130.0,0.0,0.0,Tue,12th Sep 2017
165,52.0,26.0,0.0,0.0,Wed,13th Sep 2017
166,26.0,0.0,26.0,0.0,Thu,14th Sep 2017
167,208.0,26.0,0.0,40.0,Fri,15th Sep 2017
168,26.0,0.0,0.0,0.0,Sat,16th Sep 2017
169,0.0,0.0,0.0,0.0,Sun,17th Sep 2017
170,182.0,52.0,78.0,0.0,Mon,18th Sep 2017
171,208.0,104.0,52.0,0.0,Tue,19th Sep 2017
172,130.0,26.0,52.0,0.0,Wed,20th Sep 2017
173,130.0,0.0,338.0,0.0,Thu,21st Sep 2017
174,52.0,104.0,182.0,0.0,Fri,22nd Sep 2017
175,104.0,0.0,156.0,40.0,Sat,23rd Sep 2017
176,130.0,0.0,78.0,40.0,Sun,24th Sep 2017
177,390.0,156.0,572.0,0.0,Mon,25th Sep 2017
178,260.0,234.0,52.0,0.0,Tue,26th Sep 2017
179,130.0,390.0,26.0,0.0,Wed,27th Sep 2017
180,312.0,338.0,0.0,0.0,Thu,28th Sep 2017
181,260.0,338.0,52.0,0.0,Fri,29th Sep 2017
182,78.0,52.0,26.0,40.0,Sat,30th Sep 2017
