,Green Tea St,Hazelnut St,Mango St,Mint Choco,Day,Date_
95,26.0,52.0,130.0,0.0,Wed,2017-07-05
96,52.0,182.0,26.0,0.0,Thu,2017-07-06
97,78.0,78.0,0.0,0.0,Fri,2017-07-07
98,52.0,52.0,26.0,0.0,Sat,2017-07-08
99,26.0,0.0,52.0,40.0,Sun,2017-07-09
100,208.0,130.0,0.0,0.0,Mon,2017-07-10
101,104.0,104.0,26.0,40.0,Tue,2017-07-11
102,104.0,182.0,78.0,80.0,Wed,2017-07-12
103,78.0,26.0,52.0,0.0,Thu,2017-07-13
104,130.0,26.0,0.0,40.0,Fri,2017-07-14
105,26.0,26.0,26.0,80.0,Sat,2017-07-15
106,26.0,26.0,26.0,0.0,Sun,2017-07-16
107,0.0,26.0,0.0,40.0,Mon,2017-07-17
108,0.0,52.0,0.0,40.0,Tue,2017-07-18
109,0.0,52.0,26.0,120.0,Wed,2017-07-19
110,52.0,0.0,0.0,40.0,Thu,2017-07-20
111,26.0,0.0,26.0,80.0,Fri,2017-07-21
112,0.0,0.0,78.0,0.0,Sat,2017-07-22
113,0.0,0.0,0.0,0.0,Sun,2017-07-23
114,26.0,0.0,52.0,0.0,Mon,2017-07-24
115,26.0,52.0,52.0,40.0,Tue,2017-07-25
116,78.0,52.0,156.0,40.0,Wed,2017-07-26
117,26.0,26.0,208.0,0.0,Thu,2017-07-27
118,52.0,52.0,182.0,40.0,Fri,2017-07-28
119,0.0,52.0,78.0,80.0,Sat,2017-07-29
120,0.0,0.0,26.0,40.0,Sun,2017-07-30
121,26.0,26.0,0.0,0.0,Mon,2017-07-31
122,26.0,0.0,52.0,40.0,Tue,2017-08-01
123,26.0,26.0,26.0,80.0,Wed,2017-08-02
124,0.0,0.0,0.0,40.0,Thu,2017-08-03
125,0.0,0.0,26.0,40.0,Fri,2017-08-04
126,26.0,78.0,52.0,120.0,Sat,2017-08-05
127,0.0,26.0,78.0,40.0,Sun,2017-08-06
128,0.0,26.0,52.0,0.0,Mon,2017-08-07
129,26.0,52.0,26.0,0.0,Tue,2017-08-08
130,0.0,52.0,26.0,0.0,Wed,2017-08-09
131,52.0,104.0,104.0,0.0,Thu,2017-08-10
132,0.0,78.0,182.0,40.0,Fri,2017-08-11
133,26.0,26.0,130.0,80.0,Sat,2017-08-12
134,0.0,26.0,104.0,40.0,Sun,2017-08-13
135,52.0,0.0,0.0,40.0,Mon,2017-08-14
136,0.0,130.0,78.0,80.0,Tue,2017-08-15
137,26.0,0.0,104.0,40.0,Wed,2017-08-16
