,Date,1 Topping,1 Topping Staff,1 Toppings St,3 Topping,3 Topping Staff,5 LUSH COUPON ON $40,Apricot,Apricot ST,Apricot Staff,Asia Research Free Scoop,Banana Caramel  /,Banana Caramel St,Banana Staff,Building Promotion,Chai Tea,Chai Tea Staff,Chai Tea st,Cherry Alm Staff,Cherry Almond,Cherry Almond Fudge st,Chocoate Cookies,Chocolate,Chocolate St,Chocolate Staff,Coffee,Coffee  St,Coffee Staff,Cus IC Sand Staff,Cus. IC Sand St,Double Scoop,Double Scoop ST,Double Scoop Staff,Finger B 100,Free Scoop Grassroot,Gift Voucher Reg,Gift Voucher ST,Gift coupon 3 cone,Ginger,Ginger St,Ginger Staff,Granola,Green Tea,Green Tea St,Green Tea Staff,Hazelnut,Hazelnut St,Hezelnut Staff,Ice Cream SAND,Ice Cream Sand Staff,IceCream Sand St,LUSH FOOT POWDER,Lime Coconut,Lime Coconut ST,Lime Coconut Staff,Lush Shampoo Bar $60,Mango,Mango St,Mango Staff,Mint Choco,Mint Choco  St,Mint Choco Staff,Miscellenous,Pina Colada,Pina Colada St,Pina Colada Staff,Pistachio St,Pistachio Staff,Purchase  Gift Voucher st,Pure Coco .,Pure Coco . St,Pure Coconut Staff,Red Bean,Red Bean St,Red Bean Staff,Registration day $20,S. Caramel,S. Caramel St,S. Caramel Staff,Single Scoop,Single Scoop ST,Single Scoop Staff,Staff Off -$2,Stamp Card REDEEM ST,Strawberry,Strawberry St,Strawberry Staff,Tax,Triple Scoop,Triple Scoop ST,Triple Scoop Staff,Tub Ice Cream,Tub Ice Cream ST,Tub Staff,Up 3 Toppings  ST,Vanilla Bean,Vanilla Bean St,Vanilla Bean Staff,Waffle Cone,Waffle Cone St,Waffle Cone Staff,YY Seasame,YY Seasame St,YY Seasame Staff,ZALORA $30 Spent Coupon,ZALORA Ecoupon Buy 1 Get 1 Scoop
107,Mon 17th Jul 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,30.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,26.0,30.0,0.0,0.0,0.0,-26.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,30.0,0.0,0.0,26.0,60.0,0.0,0.0,0.0,0.0,40.0,208.0,90.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,35.0,18.0,0.0,26.0,0.0,0.0,0.0
108,Tue 18th Jul 2017,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,60.0,80.0,52.0,0.0,80.0,0.0,0.0,0.0,78.0,60.0,0.0,0.0,-20.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,30.0,0.0,0.0,26.0,30.0,0.0,0.0,0.0,0.0,40.0,234.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,130.0,0.0,0.0,0.0,0.0,0.0,40.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,32.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0
109,Wed 19th Jul 2017,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,26.0,30.0,0.0,0.0,0.0,-26.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,34.0,60.0,0.0,0.0,26.0,0.0,0.0,40.0,26.0,30.0,120.0,0.0,90.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,80.0,52.0,0.0,0.0,0.0,0.0,0.0,160.0,104.0,90.0,0.0,0.0,0.0,0.0,0.0,40.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,26.0,0.0,56.0,20.0,24.0,40.0,0.0,0.0,0.0,0.0
110,Thu 20th Jul 2017,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,30.0,26.0,30.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,-20.0,-39.0,-30.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,52.0,0.0,40.0,0.0,30.0,0.0,34.0,0.0,0.0,0.0,52.0,90.0,0.0,0.0,0.0,30.0,40.0,52.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,104.0,30.0,40.0,26.0,0.0,0.0,80.0,130.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,16.0,35.0,30.0,0.0,26.0,30.0,0.0,0.0
111,Fri 21st Jul 2017,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,52.0,60.0,40.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,-20.0,-39.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,40.0,26.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,60.0,80.0,104.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,30.0,0.0,0.0,0.0,0.0,0.0,182.0,90.0,0.0,0.0,0.0,0.0,0.0,80.0,26.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,24.0,0.0,0.0,0.0,0.0,0.0
112,Sat 22nd Jul 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,80.0,30.0,26.0,0.0,0.0,78.0,0.0,80.0,52.0,30.0,0.0,0.0,30.0,0.0,0.0,-40.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,52.0,0.0,0.0,160.0,78.0,60.0,0.0,52.0,30.0,0.0,80.0,26.0,0.0,0.0,0.0,0.0,80.0,104.0,30.0,0.0,0.0,0.0,0.0,40.0,130.0,120.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,8.0,20.0,18.0,40.0,0.0,90.0,0.0,0.0
113,Sun 23rd Jul 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Mon 24th Jul 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,30.0,26.0,60.0,40.0,26.0,24.0,0.0,52.0,0.0,40.0,104.0,30.0,0.0,0.0,-20.0,-26.0,-45.0,0.0,0.0,0.0,-26.0,0.0,0.0,52.0,30.0,0.0,80.0,26.0,0.0,0.0,0.0,30.0,45.0,0.0,60.0,0.0,0.0,26.0,0.0,0.0,80.0,52.0,60.0,0.0,78.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,52.0,30.0,0.0,0.0,0.0,0.0,0.0,208.0,90.0,0.0,0.0,0.0,0.0,0.0,80.0,78.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,26.0,30.0,16.0,30.0,24.0,0.0,52.0,0.0,0.0,0.0
115,Tue 25th Jul 2017,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,52.0,0.0,0.0,78.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,30.0,0.0,0.0,26.0,30.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,52.0,120.0,40.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,234.0,60.0,0.0,0.0,0.0,0.0,0.0,40.0,130.0,30.0,0.0,0.0,0.0,-18.0,0.0,0.0,0.0,0.0,80.0,234.0,0.0,24.0,60.0,24.0,0.0,0.0,0.0,0.0,0.0
116,Wed 26th Jul 2017,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,120.0,0.0,0.0,0.0,78.0,24.0,0.0,78.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,40.0,0.0,78.0,0.0,0.0,52.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,30.0,40.0,182.0,30.0,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,78.0,30.0,0.0,0.0,0.0,0.0,0.0,78.0,30.0,0.0,0.0,0.0,0.0,0.0,40.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,60.0,18.0,0.0,0.0,0.0,0.0,0.0
